target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,AT,2024-10-20,1,quantile,0.01,689.5771592038392,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.01,662.9808217518757,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.01,784.747156841005,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.01,602.7321638659957,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.025,710.2448268447977,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.025,778.4241230398459,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.025,857.9177724107336,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.025,752.6808576833037,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.05,765.7379265498806,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.05,861.9358720312658,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.05,885.5893884975461,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.05,842.642281792669,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.1,860.4183191016799,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.1,905.1449491264993,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.1,898.3580473467753,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.1,871.3238551729652,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.15,918.5712211576231,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.15,922.1924660243092,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.15,921.4254784430003,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.15,891.3976424155323,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.2,943.0620552989413,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.2,932.2856298492933,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.2,946.9238262534418,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.2,931.6282915589355,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.25,964.226735150203,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.25,939.1392552535062,2024-10-23
