target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,AT,2024-10-20,1,quantile,0.01,876.7179421198003,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.01,1022.0359543658882,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.01,1071.257129871625,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.01,1209.9515892984657,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.025,1185.3455699976685,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.025,1155.4566583869957,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.025,1115.01024670836,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.025,1239.1633086842344,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.05,1234.7822036680657,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.05,1198.841376882231,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.05,1142.4335935957793,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.05,1284.8807162545168,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.1,1250.5340860358215,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.1,1243.3512665469677,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.1,1196.3475082552657,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.1,1338.8615260125416,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.15,1277.2684751364952,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.15,1291.532044500842,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.15,1387.4518044531367,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.15,1472.6836803520705,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.2,1326.9607146161766,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.2,1378.4587626431178,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.2,1462.3980823472396,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.2,1554.719381540066,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.25,1419.0615641131112,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.25,1499.8910354791203,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.25,1619.4978217380835,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.25,1628.9572405763968,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.3,1495.2149065030537,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.3,1571.1053655796586,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.3,1693.1041750758066,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.3,1702.4752244445708,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.35,1553.1352147052567,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.35,1633.1232786971088,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.35,1728.7200711554028,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.35,1758.1034955589225,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.4,1671.6869894481667,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.4,1673.510265399615,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.4,1765.5514502325002,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.4,1809.2720380432477,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.45,1743.115406745864,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.45,1703.3470280474726,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.45,1803.9249355122329,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.45,1848.3421695206198,2024-10-23
ILI incidence,AT,2024-10-20,1,median,0.5,1858.989545322237,2024-10-23
ILI incidence,AT,2024-10-27,2,median,0.5,1766.2469286548512,2024-10-23
ILI incidence,AT,2024-11-03,3,median,0.5,1841.009844865777,2024-10-23
ILI incidence,AT,2024-11-10,4,median,0.5,1892.9957285895975,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.55,1924.4446457019233,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.55,1820.409479060512,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.55,1888.5630870000396,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.55,1941.5420419071484,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.6,1954.0165888128347,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.6,1861.5631776018233,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.6,1935.06599835916,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.6,1997.8027539765183,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.65,2029.1304175358043,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.65,1904.9771078329165,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.65,1986.6288134930546,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.65,2050.884847515604,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.7,2119.7564588195637,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.7,1939.2995376295592,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.7,2042.1388499669276,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.7,2118.2321295233064,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.75,2183.465150913235,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.75,1983.9750957560684,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.75,2099.626123159539,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.75,2183.7584486891974,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.8,2246.350286439588,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.8,2018.7271374590946,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.8,2168.2909579591483,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.8,2265.35102720844,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.85,2334.6330485546587,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.85,2069.5381105738065,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.85,2239.0558360770133,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.85,2334.0612979806183,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.9,2370.470770138032,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.9,2144.2438753145752,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.9,2309.6427885581593,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.9,2411.8021614665636,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.95,2428.223924130478,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.95,2320.046188400118,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.95,2372.765480524027,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.95,2519.273871988739,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.975,2547.744333748402,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.975,2466.2575571385382,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.975,2475.417617636419,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.975,2594.577736999683,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.99,2580.7205120761396,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.99,2554.480512448072,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.99,2575.46104531153,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.99,2634.081747292987,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.01,117.48331405093155,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.01,102.50785810015147,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.01,107.13143335716262,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.01,153.2054379510182,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.025,120.09815875532543,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.025,104.37945358029356,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.025,115.44849372033914,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.025,154.26958744842491,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.05,154.66473306424345,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.05,119.02491553214169,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.05,135.33559227158585,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.05,161.57210808169262,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.1,195.53107129204173,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.1,175.74460176643655,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.1,168.007958703925,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.1,180.27846986735562,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.15,204.54281939435154,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.15,201.49877245117926,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.15,191.42868983386433,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.15,202.58412589402454,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.2,236.21899244207853,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.2,213.09867762950427,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.2,206.17137251742156,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.2,219.18121852613302,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.25,240.26177259448636,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.25,227.56698128217732,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.25,223.1400229730475,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.25,229.02982272511736,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.3,243.77530828313635,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.3,234.65897469480458,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.3,232.50074323465319,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.3,236.99053202882658,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.35,245.9485428408087,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.35,242.10109515108803,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.35,238.59153669349823,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.35,242.13485686720105,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.4,248.70226097922864,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.4,248.09170660121612,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.4,243.59251451180543,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.4,246.6664639197219,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.45,250.81201189779932,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.45,254.56295474261887,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.45,248.14493890453957,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.45,249.77109530720313,2024-10-23
ILI incidence,BE,2024-10-20,1,median,0.5,253.43353391872392,2024-10-23
ILI incidence,BE,2024-10-27,2,median,0.5,259.76207137171457,2024-10-23
ILI incidence,BE,2024-11-03,3,median,0.5,254.19351371192312,2024-10-23
ILI incidence,BE,2024-11-10,4,median,0.5,252.40446548485403,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.55,258.87852556244513,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.55,266.007672674382,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.55,259.87737653897364,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.55,256.99188450410816,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.6,266.9334983094423,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.6,272.2801374961948,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.6,270.2176844530627,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.6,264.53704016822354,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.65,273.3285556490054,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.65,277.754840524015,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.65,284.37641000111756,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.65,274.26207282771827,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.7,275.0375972183948,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.7,282.5892007814072,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.7,299.1184057035073,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.7,282.56674155947553,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.75,277.10090306179126,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.75,286.8524308333067,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.75,307.9929502868014,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.75,292.82733336825953,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.8,279.12834342836095,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.8,290.85592539566466,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.8,316.0070971599935,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.8,303.64069592935095,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.85,279.8840524688633,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.85,298.81017034853056,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.85,323.80537495956753,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.85,313.6557554978888,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.9,283.97275621708957,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.9,306.0100014447802,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.9,331.356362892898,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.9,337.6050215301439,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.95,288.34577439894343,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.95,312.84139294474136,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.95,344.46864246850066,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.95,353.4955221158685,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.975,290.3603107424175,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.975,327.175754217288,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.975,350.87055671933376,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.975,358.72450563915584,2024-10-23
